X0,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,T,Y
27.99,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,28.67
27.99,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,29.31
27.99,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,29.95
27.99,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,30.76
27.99,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,31.34
27.99,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,31.95
27.99,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,32.56
27.99,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,33.14
27.99,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,33.79
28.67,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,28.67
28.67,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,29.31
28.67,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,29.95
28.67,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,30.76
28.67,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,31.34
28.67,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,31.95
28.67,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,32.56
28.67,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,33.14
28.67,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,33.79
28.67,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,34.43
29.31,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,29.31
29.31,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,29.95
29.31,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,30.76
29.31,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,31.34
29.31,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,31.95
29.31,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,32.56
29.31,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,7.0,33.14
29.31,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,8.0,33.79
29.31,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,9.0,34.43
