X0,U1,U2,U3,U4,T,Y
46.68,50.0,50.0,50.0,50.0,2.0,46.87
46.68,50.0,50.0,50.0,50.0,3.0,47.03
46.68,50.0,50.0,50.0,50.0,4.0,47.29
46.87,50.0,50.0,50.0,50.0,1.0,46.87
46.87,50.0,50.0,50.0,50.0,2.0,47.03
46.87,50.0,50.0,50.0,50.0,3.0,47.29
46.87,50.0,50.0,50.0,50.0,4.0,47.39
47.03,50.0,50.0,50.0,50.0,1.0,47.03
47.03,50.0,50.0,50.0,50.0,2.0,47.29
47.03,50.0,50.0,50.0,50.0,3.0,47.39
47.03,50.0,50.0,50.0,50.0,4.0,47.65
47.29,50.0,50.0,50.0,50.0,1.0,47.29
47.29,50.0,50.0,50.0,50.0,2.0,47.39
47.29,50.0,50.0,50.0,50.0,3.0,47.65
47.29,50.0,50.0,50.0,50.0,4.0,47.78
47.39,50.0,50.0,50.0,50.0,1.0,47.39
47.39,50.0,50.0,50.0,50.0,2.0,47.65
47.39,50.0,50.0,50.0,50.0,3.0,47.78
47.39,50.0,50.0,50.0,50.0,4.0,47.97
47.65,50.0,50.0,50.0,50.0,1.0,47.65
47.65,50.0,50.0,50.0,50.0,2.0,47.78
47.65,50.0,50.0,50.0,50.0,3.0,47.97
47.65,50.0,50.0,50.0,50.0,4.0,47.97
47.78,50.0,50.0,50.0,50.0,1.0,47.78
47.78,50.0,50.0,50.0,50.0,2.0,47.97
47.78,50.0,50.0,50.0,50.0,3.0,47.97
47.78,50.0,50.0,50.0,50.0,4.0,48.29
47.97,50.0,50.0,50.0,50.0,1.0,47.97
47.97,50.0,50.0,50.0,50.0,2.0,47.97
47.97,50.0,50.0,50.0,50.0,3.0,48.29
47.97,50.0,50.0,50.0,50.0,4.0,48.29
47.97,50.0,50.0,50.0,50.0,1.0,47.97
47.97,50.0,50.0,50.0,50.0,2.0,48.29
47.97,50.0,50.0,50.0,50.0,3.0,48.29
47.97,50.0,50.0,50.0,50.0,4.0,48.61
48.29,50.0,50.0,50.0,50.0,1.0,48.29
48.29,50.0,50.0,50.0,50.0,2.0,48.29
48.29,50.0,50.0,50.0,50.0,3.0,48.61
48.29,50.0,50.0,50.0,50.0,4.0,48.61
48.29,50.0,50.0,50.0,50.0,1.0,48.29
48.29,50.0,50.0,50.0,50.0,2.0,48.61
48.29,50.0,50.0,50.0,50.0,3.0,48.61
48.29,50.0,50.0,50.0,50.0,4.0,48.84
48.61,50.0,50.0,50.0,50.0,1.0,48.61
48.61,50.0,50.0,50.0,50.0,2.0,48.61
48.61,50.0,50.0,50.0,50.0,3.0,48.84
48.61,50.0,50.0,50.0,50.0,4.0,48.94
48.61,50.0,50.0,50.0,50.0,1.0,48.61
48.61,50.0,50.0,50.0,50.0,2.0,48.84
48.61,50.0,50.0,50.0,50.0,3.0,48.94
48.61,50.0,50.0,50.0,50.0,4.0,49.06
48.84,50.0,50.0,50.0,50.0,1.0,48.84
48.84,50.0,50.0,50.0,50.0,2.0,48.94
48.84,50.0,50.0,50.0,50.0,3.0,49.06
48.84,50.0,50.0,50.0,50.0,4.0,49.26
48.94,50.0,50.0,50.0,50.0,1.0,48.94
48.94,50.0,50.0,50.0,50.0,2.0,49.06
48.94,50.0,50.0,50.0,50.0,3.0,49.26
48.94,50.0,50.0,50.0,50.0,4.0,49.29
49.06,50.0,50.0,50.0,50.0,1.0,49.06
49.06,50.0,50.0,50.0,50.0,2.0,49.26
49.06,50.0,50.0,50.0,50.0,3.0,49.29
49.06,50.0,50.0,50.0,50.0,4.0,49.58
49.26,50.0,50.0,50.0,50.0,1.0,49.26
49.26,50.0,50.0,50.0,50.0,2.0,49.29
49.26,50.0,50.0,50.0,50.0,3.0,49.58
49.26,50.0,50.0,50.0,50.0,4.0,49.58
49.29,50.0,50.0,50.0,50.0,1.0,49.29
49.29,50.0,50.0,50.0,50.0,2.0,49.58
49.29,50.0,50.0,50.0,50.0,3.0,49.58
49.29,50.0,50.0,50.0,50.0,4.0,49.71
49.58,50.0,50.0,50.0,50.0,1.0,49.58
49.58,50.0,50.0,50.0,50.0,2.0,49.58
49.58,50.0,50.0,50.0,50.0,3.0,49.71
49.58,50.0,50.0,50.0,50.0,4.0,49.9
49.58,50.0,50.0,50.0,50.0,1.0,49.58
49.58,50.0,50.0,50.0,50.0,2.0,49.71
